Item,Crafting Recipe,Crafted Using,Category,Subcategory,Obtainable From
Titanium (x4),Metal salvage,Fabricator,Basic Materials,Resources,Unlocked by default
Titanium ingot,Titanium (x10),Fabricator,Basic Materials,Resources,Unlocked by default
Fiber mesh,Creepvine sample (x2),Fabricator,Basic Materials,Resources,Acquire Creepvine sample
Silicone Rubber,Creepvine seed cluster,Fabricator,Basic Materials,Resources,Unlocked by default
Glass,Quartz (x2),Fabricator,Basic Materials,Resources,Unlocked by default
Bleach,"Salt deposit, Coral Tube Sample",Fabricator,Basic Materials,Resources,Unlocked by default
Lubricant,Creepvine seed cluster,Fabricator,Basic Materials,Resources,Acquire Creepvine seed cluster
Enameled glass,"Glass, stalker tooth",Fabricator,Basic Materials,Resources,"Acquire blueprint for Observatory or Cyclops, 
or acquire a Stalker tooth"
Plasteel ingot,"Titanium ingot, Lithium (x2)",Fabricator,Basic Materials,Resources,"Unlock Seamoth, Prawn suit or Cyclops blueprint"
Hydrochloric acid,"Deep shroom (x3), salt deposit",Fabricator,Advanced Materials,Resources,Acquire Deep shroom
Benzene,Blood oil (x3),Fabricator,Advanced Materials,Resources,Acquire Blood oil
Synthetic fibers,"Benzene, Fiber mesh",Fabricator,Advanced Materials,Resources,Acquire Blood oil
Aerogel,"Gel sack, Ruby",Fabricator,Advanced Materials,Resources,Acquire Gel sack
Polyaniline,"Gold, Hydrochloric acid",Fabricator,Advanced Materials,Resources,Acquire Deep shroom
Copper wire,Copper (x2),Fabricator,Electronics,Resources,Unlocked by default
Hatching enzymes,"Eye stalk seed, Sea crown seed, Fungal sample,
Ghost weed seed, Bulb bush sample
",Fabricator,Advanced Materials,Resources,Activate Aquarium arch 
Battery,"Acid mushroom (x2), Copper",Fabricator,Electronics,Resources,Unlocked by default
Ion battery,"Ion cube, Gold, Silver ore",Fabricator,Electronics,Resources,Data Terminal inside the Alien Thermal Plant
Power cell,"Battery (x2), Silicone rubber",Fabricator,Electronics,Resources,Acquire Battery
Ion power cell,"Ion battery (x2),Silicone rubber",Fabricator,Electronics,Resources,Data Terminal inside the Alien Thermal Plant
Computer chip,"Table coral sample (x2), Gold, Copper wire",Fabricator,Electronics,Resources,Unlocked by default
Wiring kit,Silver ore (x2),Fabricator,Electronics,Resources,Unlocked by default
Advanced wiring kit,"Wiring kit, Gold (x2), Computer chip",Fabricator,Electronics,Resources,Acquire Computer chip
Reactor rod,"Uraninite crystal (x3), Lead, Titanium, Glass",Fabricator,Electronics,Resources,Unlock Multipurpose room blueprint
Filtered water,Bladderfish,Fabricator,Water,Sustenance,Acquire Bladderfish
Disinfected water,Bleach,Fabricator,Water,Sustenance,Unlocked by default
Cooked holefish,Holefish,Fabricator,Cooked Food,Sustenance,Acquire Holefish
Cooked peeper,Peeper,Fabricator,Cooked Food,Sustenance,Acquire Peeper
Cooked bladderfish,Bladderfish,Fabricator,Cooked Food,Sustenance,Acquire Bladderfish
